id;start_date;end_date;language
1;2020-08-23T11:01:12;2020-08-23T08:51:27;SPANISH
2;2020-08-22T15:51:23;2020-08-23T10:55:48;SPANISH
3;2020-08-23T06:46:42;2020-08-22T17:20:51;FRENCH
4;2020-08-22T22:04:13;2020-08-23T09:35:39;FRENCH
5;2020-08-23T07:34:31;2020-08-23T12:21:30;FRENCH
6;2020-08-23T01:26:52;2020-08-23T13:35:06;FRENCH
7;2020-08-23T03:12:12;2020-08-22T21:03:03;FRENCH
8;2020-08-23T02:08:25;2020-08-23T12:24:33;SPANISH
9;2020-08-23T00:49:34;2020-08-22T21:30:57;SPANISH
10;2020-08-23T09:01:38;2020-08-22T19:36:08;SPANISH
